url	first_seen	portal	title	company	status
https://jobs.ashbyhq.com/pinecone/773e953d-8f53-4313-93b4-35a553bad1cb	2026-06-05	ashby-api	Senior/Staff Software Engineer, Experience	Pinecone	added	US Remote
https://jobs.ashbyhq.com/glacis-ai/feea2cb6-60db-4afa-8358-ba17d05d1cd5	2026-06-05	ashby-api	Founding Software Engineer - Agentic AI (Remote)	Glacis AI	added	Remote
https://jobs.ashbyhq.com/sierra/43e6eda7-6e46-43e8-82a5-6e5035f063bb	2026-06-05	ashby-api	Software Engineer, Agent	Sierra	added	Singapore
https://jobs.ashbyhq.com/sierra/b8a89b9a-70a1-4e47-874c-41542d1bc60a	2026-06-05	ashby-api	Software Engineer, Agent (Korean Speaking)	Sierra	added	Singapore
https://jobs.ashbyhq.com/sierra/1162dcd2-b181-49d5-9316-342cd68acbed	2026-06-05	ashby-api	Software Engineer, Agent (Thai Speaking)	Sierra	added	Singapore
https://jobs.ashbyhq.com/sierra/a4541730-ae7f-4771-b3e9-7f9da6cc5d23	2026-06-05	ashby-api	Software Engineer, Agent (Cantonese Speaking)	Sierra	added	Singapore
https://job-boards.greenhouse.io/contentful/jobs/7557597	2026-06-05	greenhouse-api	Fullstack Software Engineer (f/m/d)	Contentful	added	Berlin, Berlin, Germany
https://job-boards.greenhouse.io/contentful/jobs/7760966	2026-06-05	greenhouse-api	Senior Software Engineer - Backend & Infrastructure (f/m/d)	Contentful	added	Berlin, Berlin, Germany
https://job-boards.greenhouse.io/celonis/jobs/7517493003?gh_jid=7517493003	2026-06-05	greenhouse-api	Engineering Manager - Celonis Process Management	Celonis	added	Munich, Germany
https://job-boards.greenhouse.io/celonis/jobs/7712675003?gh_jid=7712675003	2026-06-05	greenhouse-api	Senior Software Engineer - Provisioning and Licensing	Celonis	added	Munich, Germany
https://sumup.com/careers/positions/8530960002?gh_jid=8530960002	2026-06-05	greenhouse-api	Engineering Manager - Edge AI	SumUp	added	Berlin, Germany
https://sumup.com/careers/positions/8448680002?gh_jid=8448680002	2026-06-05	greenhouse-api	Engineering Manager - Verification	SumUp	added	Berlin, Germany
https://sumup.com/careers/positions/8482965002?gh_jid=8482965002	2026-06-05	greenhouse-api	Engineering Manager - Website	SumUp	added	Berlin, Germany; London, England, United Kingdom
https://sumup.com/careers/positions/8003469002?gh_jid=8003469002	2026-06-05	greenhouse-api	Senior Software Engineer, Android - KMP	SumUp	added	Berlin, Germany
https://www.scandit.com/careers/job-description/?gh_jid=7563160	2026-06-05	greenhouse-api	Engineering Manager, Platform 	Scandit	added	Germany
https://careers.hellofresh.com/global/en/job/7807798?gh_jid=7807798	2026-06-05	greenhouse-api	Engineering Manager, Growth	HelloFresh	added	Toronto, Ontario, Canada
https://careers.hellofresh.com/global/en/job/7908331?gh_jid=7908331	2026-06-05	greenhouse-api	Staff Engineer , Consumer	HelloFresh	added	Toronto, Ontario, Canada
https://careers.hellofresh.com/global/en/job/7759021?gh_jid=7759021	2026-06-05	greenhouse-api	Staff Engineer, Consumer	HelloFresh	added	Toronto, Ontario, Canada
https://apply.workable.com/huggingface/jobs/view/CB1DEFE6CE	2026-06-05	workable-api	Senior Python Software Engineer/Open-Source Contributor - EMEA Remote	Hugging Face	added	France (Remote)
https://apply.workable.com/huggingface/jobs/view/F8427A442D	2026-06-05	workable-api	Senior Python Software Engineer/Open-Source Contributor - US Remote	Hugging Face	added	United States (Remote)
https://wayve.firststage.co/jobs?gh_jid=8431122002	2026-06-05	greenhouse-api	Application Software Engineer	Wayve	added	Germany
https://wayve.firststage.co/jobs?gh_jid=8460271002	2026-06-05	greenhouse-api	Application Software Engineer - Relocation to Tokyo	Wayve	added	Germany
https://wayve.firststage.co/jobs?gh_jid=8478637002	2026-06-05	greenhouse-api	Principal Application Software Engineer - Relocation to Tokyo	Wayve	added	Singapore
https://jobs.lever.co/palantir/8f15d728-99cc-4003-9add-928bd72a7f30	2026-06-05	lever-api	Forward Deployed Software Engineer - AUS Government	Palantir	added	Canberra, Australia
https://jobs.lever.co/palantir/12e94938-55cb-4ad9-9c05-405ebc9ef430	2026-06-05	lever-api	Forward Deployed Software Engineer - Japan Government	Palantir	added	Tokyo, Japan
https://jobs.lever.co/palantir/1b6f1d82-d459-4dea-8bc2-8d2ffe6f881a	2026-06-05	lever-api	Forward Deployed Software Engineer, Internship	Palantir	added	Paris, France
https://jobs.lever.co/palantir/395a4483-fc3d-4b77-a500-501923fd0976	2026-06-05	lever-api	Forward Deployed Software Engineer, Internship - AUS Government	Palantir	added	Sydney, Australia
https://job-boards.eu.greenhouse.io/physicsx/jobs/4880930101	2026-06-05	greenhouse-api	Forward Deployed Software Engineer	PhysicsX	added	San Francisco, United States
https://job-boards.eu.greenhouse.io/physicsx/jobs/4750017101	2026-06-05	greenhouse-api	Senior Forward Deployed Software Engineer	PhysicsX	added	Singapore
https://jobs.ashbyhq.com/photoroom/62fccba8-2ec8-4411-9b38-10db8055f69c	2026-06-05	ashby-api	Senior Software Engineer (FastAPI & Async Python)	Photoroom	added	Paris | Remote
https://jobs.ashbyhq.com/photoroom/e50599ca-bc7c-457b-a38b-a78a4d76754f	2026-06-05	ashby-api	Senior Software Engineer (Rust) 	Photoroom	added	Paris | Remote
https://jobs.lever.co/pigment/641a1bbd-7750-4404-9066-ad0975b221eb	2026-06-05	lever-api	Engineering Manager	Pigment	added	France
https://jobs.lever.co/pigment/bf7cacad-0f52-4db4-88d4-ad7b22bd852e	2026-06-05	lever-api	Senior Backend Software Engineer	Pigment	added	France
https://jobs.lever.co/pigment/24e3e6d8-56a3-4917-acbe-ec85d0c8cf13	2026-06-05	lever-api	Senior Frontend Software Engineer	Pigment	added	France
https://job-boards.eu.greenhouse.io/amplemarket/jobs/4488062101	2026-06-05	greenhouse-api	Frontend Software Engineer	Amplemarket	added	Remote, EMEA/LATAM
https://job-boards.eu.greenhouse.io/amplemarket/jobs/4066973101	2026-06-05	greenhouse-api	Fullstack Software Engineer	Amplemarket	added	Remote, EMEA/LATAM
https://job-boards.eu.greenhouse.io/amplemarket/jobs/4066899101	2026-06-05	greenhouse-api	Senior Backend Software Engineer	Amplemarket	added	Remote, EMEA/LATAM/North America
https://job-boards.greenhouse.io/hightouch/jobs/5983855004	2026-06-05	greenhouse-api	Principal Engineer, Streaming Systems	Hightouch	added	Remote (North America)
https://job-boards.greenhouse.io/hightouch/jobs/5542602004	2026-06-05	greenhouse-api	Software Engineer, AI Agents	Hightouch	added	Remote (North America)
https://job-boards.greenhouse.io/hightouch/jobs/5809895004	2026-06-05	greenhouse-api	Software Engineer - AI Productivity	Hightouch	added	Remote (North America)
https://job-boards.greenhouse.io/hightouch/jobs/5983891004	2026-06-05	greenhouse-api	Software Engineer, Control Plane	Hightouch	added	Remote (North America)
https://job-boards.greenhouse.io/hightouch/jobs/5983811004	2026-06-05	greenhouse-api	Software Engineer, Customer Studio Backend	Hightouch	added	Remote (North America)
https://job-boards.greenhouse.io/hightouch/jobs/4782632004	2026-06-05	greenhouse-api	Software Engineer, Distributed Systems	Hightouch	added	Remote (North America)
https://job-boards.greenhouse.io/hightouch/jobs/6004706004	2026-06-05	greenhouse-api	Software Engineer, Native Delivery	Hightouch	added	Remote (North America)
https://job-boards.greenhouse.io/hightouch/jobs/5983863004	2026-06-05	greenhouse-api	Software Engineer, Streaming Systems	Hightouch	added	Remote (North America)
https://job-boards.greenhouse.io/hightouch/jobs/5734303004	2026-06-05	greenhouse-api	Web Engineer 	Hightouch	added	Remote (North America) 
https://jobs.ashbyhq.com/workos/f2674bd8-3062-4cf8-98fb-72cb81dc5d39	2026-06-05	ashby-api	Software Engineer - Frontend	WorkOS	added	United States & Canada
https://jobs.ashbyhq.com/workos/07a7d732-ac5d-4aab-b4bf-ee89951660c2	2026-06-05	ashby-api	Software Engineer - Productivity	WorkOS	added	United States & Canada
